W,R,AB,H,doubles,triples,HR,BB,SO,SB,CS,RA,ER,CG,IPouts,HA,HRA,BBA,SOA,E,DP,FP,attendance,singles,OBP,net_points
83,729,5590,1489,237,40,177,470,807.0,93.0,66.0,685,613,45,4353,1371,172,554,740,115,165.0,0.982,1636058.0,1035,0.3232673267326733,44
77,569,5440,1342,236,48,74,435,830.0,140.0,61.0,620,549,37,4338,1338,87,479,899,136,154.0,0.978,1558555.0,984,0.30246808510638296,-51
90,784,5629,1603,295,58,132,442,758.0,133.0,48.0,717,649,16,4293,1443,163,471,650,127,140.0,0.9790000000000001,2284464.0,1118,0.33684730686872016,67
88,691,5642,1487,222,32,138,528,804.0,151.0,56.0,612,539,37,4464,1356,81,468,932,139,131.0,0.9790000000000001,3608881.0,1095,0.326580226904376,79
60,657,5544,1427,234,44,148,474,887.0,38.0,33.0,819,752,26,4299,1484,208,643,812,105,162.0,0.982,921186.0,1001,0.31588567630442005,-162
79,709,5526,1417,225,37,161,590,719.0,69.0,45.0,716,647,24,4377,1471,113,491,939,128,158.0,0.9790000000000001,2041219.0,994,0.3281556572923479,-7
65,609,5510,1361,227,26,97,456,1005.0,137.0,58.0,723,624,15,4341,1508,119,582,759,175,134.0,0.972,1323036.0,1011,0.3045591686221924,-114
68,691,5448,1286,211,27,149,582,948.0,232.0,87.0,819,734,42,4368,1506,177,648,697,160,140.0,0.9740000000000001,1735489.0,899,0.3097844112769486,-128
89,664,5454,1417,245,25,112,506,831.0,128.0,76.0,654,584,38,4368,1395,86,472,1002,121,138.0,0.981,2376394.0,1035,0.3226510067114094,10
84,724,5614,1535,272,40,134,447,862.0,161.0,75.0,696,621,19,4398,1434,118,521,933,145,133.0,0.977,1024106.0,1089,0.32700874443161193,28
81,675,5575,1435,217,52,81,429,877.0,165.0,77.0,658,577,20,4428,1348,139,502,765,152,142.0,0.976,1607516.0,1085,0.3104596935376416,17
76,651,5626,1431,259,33,130,456,806.0,131.0,82.0,712,636,23,4428,1431,173,547,1002,138,158.0,0.978,1070404.0,1009,0.31025978296612955,-61
87,673,5499,1393,213,30,133,607,915.0,130.0,56.0,687,593,18,4395,1507,109,466,810,173,125.0,0.973,1200948.0,1017,0.32754667540124466,-14
92,685,5455,1439,239,52,67,569,805.0,200.0,91.0,609,549,25,4395,1420,94,502,689,124,169.0,0.981,2111906.0,1081,0.3333333333333333,76
64,590,5445,1354,204,26,115,447,750.0,63.0,45.0,749,681,32,4293,1554,128,483,690,121,169.0,0.981,1154432.0,1009,0.30566870332654444,-159
78,651,5526,1447,262,45,106,415,749.0,118.0,81.0,701,633,41,4329,1428,147,493,776,136,146.0,0.978,1275978.0,1034,0.31341524995791953,-50
88,746,5472,1489,218,45,130,582,847.0,146.0,88.0,640,587,18,4320,1412,132,540,895,137,176.0,0.978,2119935.0,1096,0.3420878757846052,106
